Run,Block,Trial,Fixation,Condition,corr_ans,corr_ans_Left,Correct_Answer_Side,top_image,left_image,right_image
A,1,1,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_35.jpg,stimuli/neutral/M_nim/neutral_nim_m_35.jpg,stimuli/neutral/M_nim/neutral_nim_m_31.jpg
A,1,2,0,Neutral,2,8,R,stimuli/neutral/M_nim/neutral_nim_m_34.jpg,stimuli/neutral/M_nim/neutral_nim_m_32.jpg,stimuli/neutral/M_nim/neutral_nim_m_34.jpg
A,1,3,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_13.jpg,stimuli/neutral/F_nim/neutral_nim_f_00.jpg,stimuli/neutral/F_nim/neutral_nim_f_13.jpg
A,1,4,0,Neutral,1,9,L,stimuli/neutral/F_nim/neutral_nim_f_18.jpg,stimuli/neutral/F_nim/neutral_nim_f_18.jpg,stimuli/neutral/F_nim/neutral_nim_f_06.jpg
A,1,5,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_17.jpg,stimuli/neutral/F_nim/neutral_nim_f_12.jpg,stimuli/neutral/F_nim/neutral_nim_f_17.jpg
A,1,6,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_33.jpg,stimuli/neutral/M_nim/neutral_nim_m_33.jpg,stimuli/neutral/M_nim/neutral_nim_m_21.jpg
A,1,7,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_29.jpg,stimuli/happy/M_nim/happy_nim_m_29.jpg,stimuli/happy/M_nim/happy_nim_m_32.jpg
A,1,8,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_11.jpg,stimuli/happy/F_nim/happy_nim_f_11.jpg,stimuli/happy/F_nim/happy_nim_f_17.jpg
A,1,9,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_22.jpg,stimuli/happy/M_nim/happy_nim_m_22.jpg,stimuli/happy/M_nim/happy_nim_m_20.jpg
A,1,10,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_12.jpg,stimuli/happy/F_nim/happy_nim_f_16.jpg,stimuli/happy/F_nim/happy_nim_f_12.jpg
A,1,11,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_37.jpg,stimuli/happy/M_nim/happy_nim_m_35.jpg,stimuli/happy/M_nim/happy_nim_m_37.jpg
A,1,12,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_14.jpg,stimuli/happy/F_nim/happy_nim_f_07.jpg,stimuli/happy/F_nim/happy_nim_f_14.jpg
A,1,13,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_01.jpg,stimuli/fear/F_nim/fear_nim_f_01.jpg,stimuli/fear/F_nim/fear_nim_f_17.jpg
A,1,14,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_20.jpg,stimuli/fear/M_nim/fear_nim_m_28.jpg,stimuli/fear/M_nim/fear_nim_m_20.jpg
A,1,15,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_33.jpg,stimuli/fear/M_nim/fear_nim_m_33.jpg,stimuli/fear/M_nim/fear_nim_m_37.jpg
A,1,16,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_07.jpg,stimuli/fear/F_nim/fear_nim_f_09.jpg,stimuli/fear/F_nim/fear_nim_f_07.jpg
A,1,17,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_08.jpg,stimuli/fear/F_nim/fear_nim_f_08.jpg,stimuli/fear/F_nim/fear_nim_f_00.jpg
A,1,18,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_27.jpg,stimuli/fear/M_nim/fear_nim_m_31.jpg,stimuli/fear/M_nim/fear_nim_m_27.jpg
A,1,19,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,1,20,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,1,21,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,1,22,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,1,23,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,1,24,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,1,25,0,Object,1,9,L,stimuli/objects/object_67.jpg,stimuli/objects/object_67.jpg,stimuli/objects/object_43.jpg
A,1,26,0,Object,2,8,R,stimuli/objects/object_56.jpg,stimuli/objects/object_63.jpg,stimuli/objects/object_56.jpg
A,1,27,0,Object,1,9,L,stimuli/objects/object_49.jpg,stimuli/objects/object_49.jpg,stimuli/objects/object_72.jpg
A,1,28,0,Object,1,9,L,stimuli/objects/object_70.jpg,stimuli/objects/object_70.jpg,stimuli/objects/object_59.jpg
A,1,29,0,Object,2,8,R,stimuli/objects/object_66.jpg,stimuli/objects/object_46.jpg,stimuli/objects/object_66.jpg
A,1,30,0,Object,2,8,R,stimuli/objects/object_57.jpg,stimuli/objects/object_48.jpg,stimuli/objects/object_57.jpg
A,2,31,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_15.jpg,stimuli/fear/F_nim/fear_nim_f_13.jpg,stimuli/fear/F_nim/fear_nim_f_15.jpg
A,2,32,0,Fearful,2,8,R,stimuli/fear/F_nim/fear_nim_f_05.jpg,stimuli/fear/F_nim/fear_nim_f_03.jpg,stimuli/fear/F_nim/fear_nim_f_05.jpg
A,2,33,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_30.jpg,stimuli/fear/M_nim/fear_nim_m_30.jpg,stimuli/fear/M_nim/fear_nim_m_38.jpg
A,2,34,0,Fearful,1,9,L,stimuli/fear/M_nim/fear_nim_m_26.jpg,stimuli/fear/M_nim/fear_nim_m_26.jpg,stimuli/fear/M_nim/fear_nim_m_34.jpg
A,2,35,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_06.jpg,stimuli/fear/F_nim/fear_nim_f_06.jpg,stimuli/fear/F_nim/fear_nim_f_18.jpg
A,2,36,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_21.jpg,stimuli/fear/M_nim/fear_nim_m_36.jpg,stimuli/fear/M_nim/fear_nim_m_21.jpg
A,2,37,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_16.jpg,stimuli/neutral/F_nim/neutral_nim_f_08.jpg,stimuli/neutral/F_nim/neutral_nim_f_16.jpg
A,2,38,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_30.jpg,stimuli/neutral/M_nim/neutral_nim_m_30.jpg,stimuli/neutral/M_nim/neutral_nim_m_24.jpg
A,2,39,0,Neutral,1,9,L,stimuli/neutral/F_nim/neutral_nim_f_14.jpg,stimuli/neutral/F_nim/neutral_nim_f_14.jpg,stimuli/neutral/F_nim/neutral_nim_f_07.jpg
A,2,40,0,Neutral,2,8,R,stimuli/neutral/M_nim/neutral_nim_m_20.jpg,stimuli/neutral/M_nim/neutral_nim_m_23.jpg,stimuli/neutral/M_nim/neutral_nim_m_20.jpg
A,2,41,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_09.jpg,stimuli/neutral/F_nim/neutral_nim_f_01.jpg,stimuli/neutral/F_nim/neutral_nim_f_09.jpg
A,2,42,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_29.jpg,stimuli/neutral/M_nim/neutral_nim_m_29.jpg,stimuli/neutral/M_nim/neutral_nim_m_36.jpg
A,2,43,0,Object,2,8,R,stimuli/objects/object_55.jpg,stimuli/objects/object_62.jpg,stimuli/objects/object_55.jpg
A,2,44,0,Object,1,9,L,stimuli/objects/object_52.jpg,stimuli/objects/object_52.jpg,stimuli/objects/object_58.jpg
A,2,45,0,Object,1,9,L,stimuli/objects/object_47.jpg,stimuli/objects/object_47.jpg,stimuli/objects/object_65.jpg
A,2,46,0,Object,1,9,L,stimuli/objects/object_40.jpg,stimuli/objects/object_40.jpg,stimuli/objects/object_39.jpg
A,2,47,0,Object,2,8,R,stimuli/objects/object_61.jpg,stimuli/objects/object_68.jpg,stimuli/objects/object_61.jpg
A,2,48,0,Object,2,8,R,stimuli/objects/object_71.jpg,stimuli/objects/object_51.jpg,stimuli/objects/object_71.jpg
A,2,49,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_08.jpg,stimuli/happy/F_nim/happy_nim_f_00.jpg,stimuli/happy/F_nim/happy_nim_f_08.jpg
A,2,50,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_33.jpg,stimuli/happy/M_nim/happy_nim_m_30.jpg,stimuli/happy/M_nim/happy_nim_m_33.jpg
A,2,51,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_02.jpg,stimuli/happy/F_nim/happy_nim_f_02.jpg,stimuli/happy/F_nim/happy_nim_f_05.jpg
A,2,52,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_06.jpg,stimuli/happy/F_nim/happy_nim_f_06.jpg,stimuli/happy/F_nim/happy_nim_f_15.jpg
A,2,53,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_34.jpg,stimuli/happy/M_nim/happy_nim_m_34.jpg,stimuli/happy/M_nim/happy_nim_m_31.jpg
A,2,54,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_38.jpg,stimuli/happy/M_nim/happy_nim_m_26.jpg,stimuli/happy/M_nim/happy_nim_m_38.jpg
A,2,55,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,56,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,57,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,58,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,59,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,2,60,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,61,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,62,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,63,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,64,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,65,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,66,1,Fixation,,,NA,fixation.jpg,fixation.jpg,fixation.jpg
A,3,67,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_11.jpg,stimuli/fear/F_nim/fear_nim_f_11.jpg,stimuli/fear/F_nim/fear_nim_f_02.jpg
A,3,68,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_10.jpg,stimuli/fear/F_nim/fear_nim_f_10.jpg,stimuli/fear/F_nim/fear_nim_f_12.jpg
A,3,69,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_22.jpg,stimuli/fear/M_nim/fear_nim_m_29.jpg,stimuli/fear/M_nim/fear_nim_m_22.jpg
A,3,70,0,Fearful,1,9,L,stimuli/fear/F_nim/fear_nim_f_14.jpg,stimuli/fear/F_nim/fear_nim_f_14.jpg,stimuli/fear/F_nim/fear_nim_f_16.jpg
A,3,71,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_32.jpg,stimuli/fear/M_nim/fear_nim_m_24.jpg,stimuli/fear/M_nim/fear_nim_m_32.jpg
A,3,72,0,Fearful,2,8,R,stimuli/fear/M_nim/fear_nim_m_35.jpg,stimuli/fear/M_nim/fear_nim_m_23.jpg,stimuli/fear/M_nim/fear_nim_m_35.jpg
A,3,73,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_24.jpg,stimuli/happy/M_nim/happy_nim_m_24.jpg,stimuli/happy/M_nim/happy_nim_m_23.jpg
A,3,74,0,Happy,1,9,L,stimuli/happy/M_nim/happy_nim_m_28.jpg,stimuli/happy/M_nim/happy_nim_m_28.jpg,stimuli/happy/M_nim/happy_nim_m_21.jpg
A,3,75,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_09.jpg,stimuli/happy/F_nim/happy_nim_f_01.jpg,stimuli/happy/F_nim/happy_nim_f_09.jpg
A,3,76,0,Happy,2,8,R,stimuli/happy/F_nim/happy_nim_f_13.jpg,stimuli/happy/F_nim/happy_nim_f_10.jpg,stimuli/happy/F_nim/happy_nim_f_13.jpg
A,3,77,0,Happy,2,8,R,stimuli/happy/M_nim/happy_nim_m_36.jpg,stimuli/happy/M_nim/happy_nim_m_27.jpg,stimuli/happy/M_nim/happy_nim_m_36.jpg
A,3,78,0,Happy,1,9,L,stimuli/happy/F_nim/happy_nim_f_03.jpg,stimuli/happy/F_nim/happy_nim_f_03.jpg,stimuli/happy/F_nim/happy_nim_f_18.jpg
A,3,79,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_22.jpg,stimuli/neutral/M_nim/neutral_nim_m_22.jpg,stimuli/neutral/M_nim/neutral_nim_m_38.jpg
A,3,80,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_05.jpg,stimuli/neutral/F_nim/neutral_nim_f_10.jpg,stimuli/neutral/F_nim/neutral_nim_f_05.jpg
A,3,81,0,Neutral,2,8,R,stimuli/neutral/M_nim/neutral_nim_m_28.jpg,stimuli/neutral/M_nim/neutral_nim_m_26.jpg,stimuli/neutral/M_nim/neutral_nim_m_28.jpg
A,3,82,0,Neutral,2,8,R,stimuli/neutral/F_nim/neutral_nim_f_03.jpg,stimuli/neutral/F_nim/neutral_nim_f_15.jpg,stimuli/neutral/F_nim/neutral_nim_f_03.jpg
A,3,83,0,Neutral,1,9,L,stimuli/neutral/F_nim/neutral_nim_f_02.jpg,stimuli/neutral/F_nim/neutral_nim_f_02.jpg,stimuli/neutral/F_nim/neutral_nim_f_11.jpg
A,3,84,0,Neutral,1,9,L,stimuli/neutral/M_nim/neutral_nim_m_37.jpg,stimuli/neutral/M_nim/neutral_nim_m_37.jpg,stimuli/neutral/M_nim/neutral_nim_m_27.jpg
A,3,85,0,Object,2,8,R,stimuli/objects/object_69.jpg,stimuli/objects/object_54.jpg,stimuli/objects/object_69.jpg
A,3,86,0,Object,2,8,R,stimuli/objects/object_64.jpg,stimuli/objects/object_42.jpg,stimuli/objects/object_64.jpg
A,3,87,0,Object,1,9,L,stimuli/objects/object_60.jpg,stimuli/objects/object_60.jpg,stimuli/objects/object_37.jpg
A,3,88,0,Object,1,9,L,stimuli/objects/object_53.jpg,stimuli/objects/object_53.jpg,stimuli/objects/object_45.jpg
A,3,89,0,Object,2,8,R,stimuli/objects/object_44.jpg,stimuli/objects/object_50.jpg,stimuli/objects/object_44.jpg
A,3,90,0,Object,1,9,L,stimuli/objects/object_38.jpg,stimuli/objects/object_38.jpg,stimuli/objects/object_41.jpg
